timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2025-03-22T00:00:00.000Z";"2025-03-22T23:59:59.999Z";"2025-03-22T19:37:00.000Z";"2025-03-22T23:25:00.000Z";"2781";0.167067874;0.169545506;0.1668039467;0.1673425121;438263314.46;24856997482.65;"2025-03-22T23:59:59.999Z"
"2025-03-21T00:00:00.000Z";"2025-03-21T23:59:59.999Z";"2025-03-21T02:01:00.000Z";"2025-03-21T13:40:00.000Z";"2781";0.169351066;0.1714014288;0.1649585291;0.1670616641;743835418.56;24814012673.6;"2025-03-21T23:59:59.999Z"
"2025-03-20T00:00:00.000Z";"2025-03-20T23:59:59.999Z";"2025-03-20T00:15:00.000Z";"2025-03-20T16:55:00.000Z";"2781";0.1780695774;0.1790062441;0.1670419263;0.169351471;959535286.18;25150824088.44;"2025-03-20T23:59:59.999Z"
"2025-03-19T00:00:00.000Z";"2025-03-19T23:59:59.999Z";"2025-03-19T23:50:00.000Z";"2025-03-19T02:07:00.000Z";"2781";0.1680293031;0.1785173285;0.1670035187;0.1780645697;1238919491.01;26443189146.07;"2025-03-19T23:59:59.999Z"
"2025-03-18T00:00:00.000Z";"2025-03-18T23:59:59.999Z";"2025-03-18T00:00:00.000Z";"2025-03-18T14:05:00.000Z";"2781";0.1734718271;0.1734718271;0.1632366038;0.1680293031;1046683877.7;24949912797.43;"2025-03-18T23:59:59.999Z"
"2025-03-17T00:00:00.000Z";"2025-03-17T23:59:59.999Z";"2025-03-17T19:49:00.000Z";"2025-03-17T00:02:00.000Z";"2781";0.1682331254;0.175991629;0.1681933211;0.1734648977;1002401452.43;25755663383.73;"2025-03-17T23:59:59.999Z"
"2025-03-16T00:00:00.000Z";"2025-03-16T23:59:59.999Z";"2025-03-16T00:46:00.000Z";"2025-03-16T14:01:00.000Z";"2781";0.1760673221;0.1766985818;0.1662270953;0.1682346316;935490544.53;24975572905.21;"2025-03-16T23:59:59.999Z"
"2025-03-15T00:00:00.000Z";"2025-03-15T23:59:59.999Z";"2025-03-15T16:49:00.000Z";"2025-03-15T02:37:00.000Z";"2781";0.1717654452;0.1776117692;0.1715614053;0.1760681749;731309597.11;26136223201.71;"2025-03-15T23:59:59.999Z"
"2025-03-14T00:00:00.000Z";"2025-03-14T23:59:59.999Z";"2025-03-14T15:37:00.000Z";"2025-03-14T00:11:00.000Z";"2781";0.1650653051;0.1757016693;0.1649269544;0.1717987638;1042050428.32;25494956454.4;"2025-03-14T23:59:59.999Z"
"2025-03-13T00:00:00.000Z";"2025-03-13T23:59:59.999Z";"2025-03-13T00:28:00.000Z";"2025-03-13T21:22:00.000Z";"2781";0.172381265;0.1727108548;0.1620952052;0.1650651785;1437934838.14;24498671787.52;"2025-03-13T23:59:59.999Z"
"2025-03-12T00:00:00.000Z";"2025-03-12T23:59:59.999Z";"2025-03-12T12:34:00.000Z";"2025-03-12T04:46:00.000Z";"2781";0.1641554037;0.1725131352;0.1597913802;0.172381265;1618464957.41;25581706812.32;"2025-03-12T23:59:59.999Z"
"2025-03-11T00:00:00.000Z";"2025-03-11T23:59:59.999Z";"2025-03-11T20:01:00.000Z";"2025-03-11T01:08:00.000Z";"2781";0.1540583031;0.168317332;0.1453495339;0.164165732;2372945325.02;24360837549.45;"2025-03-11T23:59:59.999Z"
