"year_volume","year"
"1199375318097.5083153","2022"
"1154270245408.5786174","2021"
"920280057083.64487593","2023"
"849745396455.73840503","2024"
"286483009694.78334055","2020"
"214776209822.4168043","2025"
"121434641696.80338823","2019"
"95758789908.97951882","2018"
"7250090867.81431705","2017"
