"year_volume","trade_count","year"
"1199375318097.5083153","1200493891","2022"
"1154270245408.5786174","670807484","2021"
"920280057083.64487593","936588511","2023"
"849745396455.73840503","1015161007","2024"
"286483009694.78334055","314308446","2020"
"214776209822.4168043","367858871","2025"
"121434641696.80338823","130861043","2019"
"95758789908.97951882","87349954","2018"
"7250090867.81431705","4261621","2017"
